pcn,item,mpn,current_onhand,corrected_onhand,phantom_removed,relabel_adjt_count,relabel_units,loc_to,mfg_qty
16698,6163L-8,C1608X7R1H104K080AA,2650,0,2650,1,2650,MFG Floor,2650
1747,7993M-36,1N4148W-7-F,2650,0,2650,1,2650,MFG Floor,2650
52,7993M-36,1N4148W-7-F,2613,0,2613,1,2613,MFG Floor,2613
142,7993M-36,1N4148W-7-F,2541,0,2541,1,2541,MFG Floor,2541
151,7863L-5,ERJ-6ENF1004V,2500,0,2500,1,2500,1303408,2500
37496,5540L-1,C326C104K5R5TA7301,2500,0,2500,1,2500,MFG Floor,2500
14205,8119L-115,RC0603FR-0710KL,2500,0,2500,1,2500,MFG Floor,2500
5677,7584-18,C1005X7R1C104K050BC,2500,0,2500,1,2500,MFG Floor,2500
380,6252-41,CRCW12061K00FKEA,2500,0,2500,1,2500,MFG Floor,2500
8556,7595-85,C410C471K1R5TA7200,5000,2500,2500,1,2500,2101101,0
494,7918-25,ERA-2AEB103X,2500,0,2500,1,2500,MFG Floor,2500
8220,8119L-20,GRM21BR61E106KA73L,2450,0,2450,1,2450,MFG Floor,2450
9142,7726-33,ERO-S2PHF1502,2425,0,2425,1,2500,2202104,75
1963,7183L-2,UMK107AB7105KA-T,3354,954,2400,1,2400,MFG Floor,1446
33618,8335ML-5,AV30K3225G202N,2400,0,2400,1,2400,MFG Floor,2400
19862,7946L-205,RMCF0603FT698R,4660,2330,2330,1,2330,MFG Floor,0
866,8243-75,RC0805FR-074K7L,2300,0,2300,1,2300,MFG Floor,2300
1787,7143L-12,CL10A105KA8NNNC,3000,700,2300,1,2300,MFG Floor,2300
20096,7946L-340,RMCF0603ZT0R00,4436,2218,2218,1,2218,MFG Floor,0
1724,7944-30,C0603C104K5RACTU,3700,1500,2200,1,2200,1404718,0
1694,6163L-8,C0603C104K5RACTU,2200,0,2200,1,2200,MFG Floor,2200
13291,8197-30,RR0816P-103-D,5080,2880,2200,1,2200,1303511,0
14480,8219-20,ERA-3AED101V,4400,2200,2200,1,2200,1404105,0
1626,5189-1,C0805C103K5RACTU,2800,700,2100,3,2100,MFG Floor,0
30145,7946L-185,RMCF0805JT2K20,2100,0,2100,1,2100,1502203,0
19855,7946L-210,ERJ-3EKF4220V,4120,2060,2060,1,2060,MFG Floor,0
19869,8500-285,RMCF0805JT2K20,2030,0,2030,1,2030,MFG Floor,2030
38560,7946l-65,C0603C470J5GACTU,2020,0,2020,1,2020,1502101,0
8549,6008-4,C323C104K5R5TA7301,2000,0,2000,1,2000,MFG Floor,1875
6753,8083-1,C2012X7R2A104K125AE,2000,0,2000,1,2000,MFG Floor,2000
7581,8243-70,CRCW080515K0FKEA,2000,0,2000,1,2000,MFG Floor,2000
8218,6163L-11,HR2220V801R-10,2000,0,2000,1,2000,MFG Floor,2000
14346,6590L-A-15,RMCF0805JT1K50,2000,0,2000,2,2000,MFG Floor,1000
11809,8109L-3,MK01-B,2000,0,2000,1,2000,MFG Floor,2000
40051,8148L-10,CL21A106KAYNNNE,4000,2000,2000,1,2000,1406404,0
29109,7754l-25,CRCW1206330RFKEA,2000,0,2000,1,2000,MFG Floor,2000
9047,7726-11,1N5240B-TAP,3725,1725,2000,1,2000,2201202,275
9039,ACI-5326,1N4746A-TR,2000,0,2000,2,2000,MFG Floor,400
9318,7451-5,C316C104K5R5TA7301,2000,0,2000,1,2000,MFG Floor,2000
853,8178M-260,ERJ-6ENF4991V,2000,0,2000,1,2000,MFG Floor,2000
35322,8520L-145,CC0402JRNPO9BN470,4000,2000,2000,1,2000,MFG Floor,0
1725,8095-5,C0805C106K4PACTU,2000,0,2000,1,2000,MFG Floor,2000
8927,7726-24,MFR-25FRF52-1K,2000,0,2000,1,2000,MFG Floor,1250
1832,7700-12,GRM033R61A104KE15D,2000,0,2000,1,2000,MFG Floor,2000
8903,7123-11,C320C104K5R5TA7301,2000,0,2000,1,2000,MFG Floor,2000
32603,7307-1,C0805C104K5RACTU,2000,0,2000,1,2000,MFG Floor,2000
9319,7453-1,C316C104K5R5TA7301,2000,0,2000,1,2000,MFG Floor,2000
1863,7307-1,NMC0805X7R104K50TRPF,1990,0,1990,1,1990,MFG Floor,1990
37789,7946L-325,RMCF0805JT10R0,3980,1990,1990,1,1990,1502303,0
256,8178M-180,CRCW0805220RFKEA,1990,0,1990,1,1990,MFG Floor,1990
33535,8461L-55,C0603C104K5RACTU,3350,1430,1920,1,1920,MFG Floor,1920
19298,7124-9,CRCW060310K0FKEA,1900,0,1900,1,1900,MFG Floor,1900
1321,C8081M-6,CRCW06035R10FKEA,1900,0,1900,1,1900,MFG Floor,1900
1825,7848-7,C3216X7R2A104K160AM,1900,0,1900,1,1900,MFG Floor,1900
8755,7848-7,MFR-25FRF52-56K2,3295,1400,1895,1,1895,MFG Floor,0
19859,7946L-195,ERJ-3EKF6341V,1830,0,1830,1,1830,1502204,0
21980,7307-1,C0805C104K5RACTU,1800,0,1800,1,1800,MFG Floor,1800
1602,7183L-5,C0603C103J5RACTU,1800,0,1800,1,1800,MFG Floor,1800
160,7548-4,ERJ-12ZYJ471U,1800,0,1800,1,1800,MFG Floor,1800
23151,8080L-1-500,CRCW060310K0FKEA,1800,0,1800,1,1800,MFG Floor,1800
31766,6654L-20,TMK107ABJ225KA-T,1800,0,1800,1,1800,1303202,0
11406,8119L-130,ERJ-3GEYJ331V,1800,0,1800,1,1800,MFG Floor,1800
28076,8336ML-25,06035C102KAT2A,1800,0,1800,1,1800,MFG Floor,1800
13554,8167M-355,"74LVC1GU04GW,125",1800,0,1800,1,1800,MFG Floor,1800
9141,6779ML-100,271-33K-RC,1800,0,1800,1,1800,1501601,0
8906,6390-2,C322C104K5R5TA7301,1750,0,1750,1,1750,MFG Floor,1750
30985,7451-22,770101103P,1750,0,1750,1,1750,2204208,1750
8612,7451-17,RNMF14FTC10K0,1750,0,1750,1,1750,MFG Floor,1750
1843,7143L-3,GRM188R71C104KA01D,1700,0,1700,1,1700,MFG Floor,1700
26041,6590L-16,RC0805FR-0710KL,1700,0,1700,1,1700,MFG Floor,1700
2272,6590-16,RC0805FR-0710KL,1700,0,1700,1,1700,MFG Floor,1700
8304,8080L-110,C1608X7R1H104K080AA,1700,0,1700,1,1700,MFG Floor,1700
13850,8210L-130,EXB-V4V223JV,1700,0,1700,1,1700,MFG Floor,1700
25638,8119L-70,MSP430G2755IDA38R,1672,0,1672,1,1672,MFG Floor,1672
19875,7946L-320,ERJ-3EKF3831V,3200,1600,1600,1,1600,1502305,0
